,Unnamed: 0,#,Address,Quantity,Percentage,7d Change,Address.1,prub
37,37,38,0xdc24316b9ae028f1497c275eb9192a3ea0f67022 Lido: Curve Liquidity Farming Pool Contract,230193,0.19%,-16482,0xdc24316b9ae028f1497c275eb9192a3ea0f67022 Lido: Curve Liquidity Farming Pool Contract,0xdc24316b9ae028f1497c275eb9192a3ea0f67022
38,38,39,0xcb9225bb407bc585ffbb863dc924aad07c97af2c,230000,0.19%,--,0xcb9225bb407bc585ffbb863dc924aad07c97af2c,0xcb9225bb407bc585ffbb863dc924aad07c97af2c
39,39,40,0x59448fe20378357f206880c58068f095ae63d5a5 Bitfinex 9,215369,0.18%,--,0x59448fe20378357f206880c58068f095ae63d5a5 Bitfinex 9,0x59448fe20378357f206880c58068f095ae63d5a5
40,40,41,0xbddf00563c9abd25b576017f08c46982012f12be,206636,0.17%,-4302,0xbddf00563c9abd25b576017f08c46982012f12be,0xbddf00563c9abd25b576017f08c46982012f12be
41,41,42,0xa160cdab225685da1d56aa342ad8841c3b53f291 Tornado.Cash: 100 ETH,203500,0.17%,7000,0xa160cdab225685da1d56aa342ad8841c3b53f291 Tornado.Cash: 100 ETH,0xa160cdab225685da1d56aa342ad8841c3b53f291
42,42,43,0x558553d54183a8542f7832742e7b4ba9c33aa1e6 Bithumb 12,200002,0.17%,--,0x558553d54183a8542f7832742e7b4ba9c33aa1e6 Bithumb 12,0x558553d54183a8542f7832742e7b4ba9c33aa1e6
43,43,44,0x98ec059dc3adfbdd63429454aeb0c990fba4a128 OKEx 6,200000,0.17%,--,0x98ec059dc3adfbdd63429454aeb0c990fba4a128 OKEx 6,0x98ec059dc3adfbdd63429454aeb0c990fba4a128
44,44,45,0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,200000,0.17%,--,0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d
45,45,46,0xcdbf58a9a9b54a2c43800c50c7192946de858321,193799,0.16%,--,0xcdbf58a9a9b54a2c43800c50c7192946de858321,0xcdbf58a9a9b54a2c43800c50c7192946de858321
46,46,47,0x475a311edfd2d2a583fcba043d543917a94b85a0,190000,0.16%,--,0x475a311edfd2d2a583fcba043d543917a94b85a0,0x475a311edfd2d2a583fcba043d543917a94b85a0
47,47,48,0x66f820a414680b5bcda5eeca5dea238543f42054 Bittrex 3,188509,0.16%,-0,0x66f820a414680b5bcda5eeca5dea238543f42054 Bittrex 3,0x66f820a414680b5bcda5eeca5dea238543f42054
48,48,49,0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,187068,0.16%,--,0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28
49,49,50,0xdc1487e092caba080c6badafaa75a58ce7a2ec34,179271,0.15%,7900,0xdc1487e092caba080c6badafaa75a58ce7a2ec34,0xdc1487e092caba080c6badafaa75a58ce7a2ec34
50,50,51,0x36a85757645e8e8aec062a1dee289c7d615901ca Bitfinex 10,177328,0.15%,--,0x36a85757645e8e8aec062a1dee289c7d615901ca Bitfinex 10,0x36a85757645e8e8aec062a1dee289c7d615901ca
51,51,52,0x550cd530bc893fc6d2b4df6bea587f17142ab64e,176819,0.15%,--,0x550cd530bc893fc6d2b4df6bea587f17142ab64e,0x550cd530bc893fc6d2b4df6bea587f17142ab64e
